image_id,image description,frames,Emotions,Values,Triggers
1578,arafed image of a white cat with a red collar and a lipstick,"frame:BodyDecoration, frame:ClothingParts, frame:Color, frame:Awareness, frame:Animals",,folk:Consciousness,"https://w3id.org/framester/wn/wn30/instances/synset-image-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-image-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-collar-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-cat-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-white-adjective-1, https://w3id.org/framester/wn/wn30/instances/synset-lipstick-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-red-adjectivesatellite-1"
1580,arafed reindeer standing on top of a pile of garbage,"frame:MassMotion, frame:Posture, frame:Placing, frame:Supply, frame:ComeTogether, frame:Filling, frame:OccupyRank, frame:BeingLocated, frame:AboundingWith",,"mft:Authority, folk:Consideration","https://w3id.org/framester/data/framestercore/OccupyRank, https://w3id.org/framester/wn/wn30/instances/synset-top-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-standing-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-pile-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-garbage-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-caribou-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-standing-noun-1"
1581,woman with blood on her face holding a cell phone in her hand,"frame:ObservableBodyParts, frame:Manipulation, frame:CommunicationMeans, frame:Placing, frame:Contacting, frame:Filling, frame:Containing, frame:Inclusion, frame:Possession, frame:FacialExpression, frame:People, frame:BiologicalEntity",,folk:Control,"https://w3id.org/framester/wn/wn30/instances/synset-cell-noun-2, https://w3id.org/framester/wn/wn30/instances/synset-face-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-telephone-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-hand-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-woman-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-blood-noun-1, https://w3id.org/framester/data/framestercore/Manipulation"
1582,a woman holding a lamb in her hands with blood all over her body,"frame:Manipulation, frame:Placing, frame:PartWhole, frame:Filling, frame:Containing, frame:Inclusion, frame:Possession, frame:People, frame:Birth",,folk:Control,"https://w3id.org/framester/wn/wn30/instances/synset-body-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-lamb-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-woman-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-blood-noun-1, https://w3id.org/framester/data/framestercore/Manipulation"
1583,arafed man smoking a cigarette with a gun in his mouth,"frame:ObservableBodyParts, frame:Weapon, frame:IngestSubstance, frame:ShapedPart, frame:Intoxicants, frame:People",,folk:Control,"https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-gun-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-cigarette-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-mouth-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-mouth-noun-1"
1584,a card with a picture of arya stark on it,"frame:OpticalImage, frame:Sensation",,,"https://w3id.org/framester/wn/wn30/instances/synset-card-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-picture-noun-1"
1586,a cartoon of a snow white laying on the floor with a toy,"frame:CreateRepresentation, frame:Conduct, frame:LaborProduct, frame:WorkingOn, frame:ArchitecturalPart, frame:Precipitation",,"mft:Harm, folk:Control","https://w3id.org/framester/wn/wn30/instances/synset-floor-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-floor-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-plaything-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-snow-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-cartoon-noun-1"
1587,"arafed woman in a coffin with a sign that says,'the most amazing animal is","frame:Containers, frame:Desirability, frame:StimulusFocus, frame:Sign, frame:Statement, frame:Animals, frame:People, frame:Request, frame:Communication, frame:Quantity, frame:TextCreation",be:Surprise,folk:Excellence,"https://w3id.org/framester/wn/wn30/instances/synset-animal-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-amazing-adjectivesatellite-1, https://w3id.org/framester/wn/wn30/instances/synset-amazing-adjectivesatellite-1, https://w3id.org/framester/wn/wn30/instances/synset-most-adjective-1, https://w3id.org/framester/data/framestercore/Desirability, https://w3id.org/framester/wn/wn30/instances/synset-sign-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-coffin-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-woman-noun-1"
1588,mickey mouse and goofy are in a room with a yellow wallpaper,"frame:BuildingSubparts, frame:Filling, frame:Color",,,"https://w3id.org/framester/wn/wn30/instances/synset-mouse-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-room-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-Goofy-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-yellow-adjectivesatellite-1, https://w3id.org/framester/wn/wn30/instances/synset-Paddy-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-wallpaper-noun-1"
1589,there is a man holding a sheep and a poster of a goat,"frame:Attaching, frame:Animals, frame:People",,,"https://w3id.org/framester/wn/wn30/instances/synset-goat-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-poster-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-sheep-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-there-noun-1"
1592,a painting of a lion laying on top of a hill,"frame:NaturalFeatures, frame:Posture, frame:Placing, frame:CauseToPerceive, frame:Supply, frame:BeingLocated",,,"https://w3id.org/framester/wn/wn30/instances/synset-top-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-painting-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-hill-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-lion-noun-1"
1593,there is a picture of a monkey hanging from a tree branch,"frame:BiologicalArea, frame:OpticalImage, frame:Sensation",,,"https://w3id.org/framester/wn/wn30/instances/synset-hanging-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-tree-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-branch-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-there-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-monkey-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-picture-noun-1"
1594,a close up of a bottle of perfume with a frog inside,"frame:Containers, frame:Grooming, frame:PartInnerOuter, frame:MeasureVolume",,mft:Care,"https://w3id.org/framester/wn/wn30/instances/synset-inside-noun-2, https://w3id.org/framester/wn/wn30/instances/synset-perfume-noun-2, https://w3id.org/framester/wn/wn30/instances/synset-bottle-noun-1, https://w3id.org/framester/data/framestercore/Grooming, https://w3id.org/framester/wn/wn30/instances/synset-stopping%20point-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-frog-noun-1"
1595,arafed man in bed with cigarette and cigarette sign,"frame:Placing, frame:Supply, frame:Causation, frame:Sign, frame:BuildingSubparts, frame:Intoxicants, frame:People",,,"https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-sign-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-bed-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-cigarette-noun-1"
1596,arafed jeep parked in front of a playground with a child on top of it,"frame:PartOrientational, frame:Posture, frame:Placing, frame:Vehicle, frame:PeopleByAge, frame:Supply, frame:BeingLocated",,"mft:Care, mft:Harm","https://w3id.org/framester/wn/wn30/instances/synset-top-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-child-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-front-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-front-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-jeep-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-child-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-resort%20area-noun-1"
1597,there is a duck in the bathtub with a faucet in it,"frame:BuildingSubparts, frame:Grooming",,mft:Care,"https://w3id.org/framester/wn/wn30/instances/synset-bathtub-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-faucet-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-duck-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-there-noun-1, https://w3id.org/framester/data/framestercore/Grooming"
1598,there are five bags of white paper sitting on a table,"frame:Posture, frame:Placing, frame:Color, frame:Filling, frame:ChangePosture, frame:BeingLocated, frame:Substance, frame:Ingredients",,,"https://w3id.org/framester/wn/wn30/instances/synset-table-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-paper-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-white-adjective-1, https://w3id.org/framester/wn/wn30/instances/synset-there-noun-1"
1599,a poster for the movie absolute on ice,"frame:Attaching, frame:IntentionallyCreate, frame:CauseTemperatureChange, frame:InchoativeChangeOfTemperature, frame:Creating, frame:BehindTheScenes",,,"https://w3id.org/framester/wn/wn30/instances/synset-poster-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-absolute-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-movie-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-ice-noun-1"
1600,a close up of a frog with a flower in its mouth,"frame:ObservableBodyParts, frame:Progress, frame:ShapedPart",,"folk:Development, folk:Control","https://w3id.org/framester/data/framestercore/Progress, https://w3id.org/framester/wn/wn30/instances/synset-flower-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-flower-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-frog-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-stopping%20point-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-mouth-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-mouth-noun-1"
1601,a close up of a group of tombstones in a field,"frame:Organization, frame:Aggregate",,,"https://w3id.org/framester/wn/wn30/instances/synset-stopping%20point-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-field-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-group-noun-1"
1602,there are two pictures of a child and a woman with a child,"frame:People, frame:PeopleByAge",,mft:Care,"https://w3id.org/framester/wn/wn30/instances/synset-woman-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-there-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-child-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-child-noun-1"
1604,a close up of a white shirt with a cigarette on it,"frame:Clothing, frame:Intoxicants, frame:Color",,,"https://w3id.org/framester/wn/wn30/instances/synset-stopping%20point-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-white-adjective-1, https://w3id.org/framester/wn/wn30/instances/synset-cigarette-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-shirt-noun-1"
1605,a close up of two hands with a red and yellow ring on them,frame:Color,,,"https://w3id.org/framester/wn/wn30/instances/synset-stopping%20point-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-yellow-adjectivesatellite-1, https://w3id.org/framester/wn/wn30/instances/synset-red-adjectivesatellite-1, https://w3id.org/framester/wn/wn30/instances/synset-ring-noun-2"
1606,a close up of a person's hand holding a door handle,"frame:ObservableBodyParts, frame:ResolveProblem, frame:ConnectingArchitecture, frame:People",,"folk:Leadership, mft:Care, bhv:Power","https://w3id.org/framester/wn/wn30/instances/synset-door-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-person-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-hand-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-manage-verb-2, https://w3id.org/framester/wn/wn30/instances/synset-stopping%20point-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-manage-verb-2"
1608,a yellow ball with a sad face sitting on the ground,"frame:ObservableBodyParts, frame:NaturalFeatures, frame:EmotionDirected, frame:Posture, frame:Placing, frame:Color, frame:FacialExpression, frame:ChangePosture, frame:BeingLocated",be:Sadness,,"https://w3id.org/framester/wn/wn30/instances/synset-ball-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-sad-adjective-1, https://w3id.org/framester/wn/wn30/instances/synset-sad-adjective-1, https://w3id.org/framester/wn/wn30/instances/synset-yellow-adjectivesatellite-1, https://w3id.org/framester/wn/wn30/instances/synset-face-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-land-noun-4"
1609,a close up of a water droplet with a tree in the middle,"frame:BiologicalArea, frame:PartInnerOuter, frame:Substance",,,"https://w3id.org/framester/wn/wn30/instances/synset-water-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-tree-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-stopping%20point-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-droplet-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-center-noun-1"
1610,a close up of a child crying with a plastic bag over his head,"frame:MakeNoise, frame:ObservableBodyParts, frame:Containers, frame:CommunicationNoise, frame:MeasureVolume, frame:PeopleByAge",,"mft:Care, mft:Harm","https://w3id.org/framester/wn/wn30/instances/synset-head-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-child-noun-1, https://w3id.org/framester/vn/vn31/data/Cry_43020000, https://w3id.org/framester/wn/wn30/instances/synset-stopping%20point-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-bag-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-fictile-adjectivesatellite-3, https://w3id.org/framester/wn/wn30/instances/synset-child-noun-1"
1611,a black and white photo of a woman standing in front of a bunch of dolls,"frame:PartOrientational, frame:Representing, frame:Posture, frame:Placing, frame:Aggregate, frame:Color, frame:ChangePosture, frame:BeingLocated, frame:People",,mft:Harm,"https://w3id.org/framester/wn/wn30/instances/synset-bunch-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-front-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-front-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-white-adjective-1, https://w3id.org/framester/wn/wn30/instances/synset-woman-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-photograph-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-black-adjective-1"
1613,arafed man kneeling on the road with a dog and a car,"frame:Posture, frame:Vehicle, frame:ChangePosture, frame:Animals, frame:People, frame:Roadways, frame:BodyMovement",,,"https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-road-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-car-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-dog-noun-1"
1614,a close up of a bucket with a red handle hanging from it,"frame:Placing, frame:Containers, frame:ResolveProblem, frame:Filling",,"folk:Leadership, mft:Care, bhv:Power","https://w3id.org/framester/wn/wn30/instances/synset-red-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-bucket-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-manage-verb-2, https://w3id.org/framester/wn/wn30/instances/synset-stopping%20point-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-manage-verb-2"
1615,there is a man that is walking a dog on a leash,"frame:Cotheme, frame:Attaching, frame:SelfMotion, frame:Animals, frame:People, frame:Closure",,,"https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-leash-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-dog-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-there-noun-1"
1616,a drawing of a man falling into a bowl of food,"frame:MeasureVolume, frame:MotionDirectional, frame:People, frame:Food",,"mft:Care, folk:Helping, bhv:Benevolence","https://w3id.org/framester/wn/wn30/instances/synset-drawing-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-food-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-food-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-bowl-noun-1"
1617,a woman laying on a red pillow with the words exotic skin kills,"frame:People, frame:Placing, frame:ExperienceBodilyHarm, frame:Color",,mft:Harm,"https://w3id.org/framester/wn/wn30/instances/synset-skin-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-pillow-noun-1, https://w3id.org/framester/data/framestercore/ExperienceBodilyHarm, https://w3id.org/framester/wn/wn30/instances/synset-woman-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-skin-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-red-adjectivesatellite-1"
1618,four different ads for a food product with a picture of a bag of butter,"frame:CommerceSell, frame:OpticalImage, frame:Containers, frame:Food, frame:MeasureVolume, frame:Sensation",,"mft:Care, folk:Helping, bhv:Benevolence","https://w3id.org/framester/wn/wn30/instances/synset-food-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-butter-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-food-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-merchandise-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-picture-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-bag-noun-1"
1619,a man standing in front of a black background with a white line drawing of a man,"frame:PartOrientational, frame:CreateRepresentation, frame:CauseToPerceive, frame:Color, frame:OccupyRank, frame:Pattern, frame:CreatePhysicalArtwork, frame:People",,"mft:Authority, folk:Consideration, mft:Harm","https://w3id.org/framester/data/framestercore/OccupyRank, https://w3id.org/framester/wn/wn30/instances/synset-drawing-noun-2, https://w3id.org/framester/wn/wn30/instances/synset-background-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-front-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-front-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-line-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-white%20line-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-delineation-noun-2, https://w3id.org/framester/wn/wn30/instances/synset-white-adjective-1, https://w3id.org/framester/wn/wn30/instances/synset-black-adjective-1, https://w3id.org/framester/wn/wn30/instances/synset-standing-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-standing-noun-1"
1621,a close up of a sign with a sky background and a building in the background,"frame:Buildings, frame:Locale, frame:Sign",,,"https://w3id.org/framester/wn/wn30/instances/synset-building-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-background-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-sign-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-stopping%20point-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-sky-noun-1"
1622,a poster with a man's face and words in different colors,"frame:ObservableBodyParts, frame:Attaching, frame:FacialExpression, frame:People",,,"https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-poster-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-face-noun-1"
1623,arafed man laying in plastic with a sign that says this is not activism,"frame:Placing, frame:Law, frame:Sign, frame:SubstanceByPhase, frame:Statement, frame:People, frame:Request, frame:Communication, frame:TextCreation",,"folk:Rigor, mft:Fairness","https://w3id.org/framester/data/framestercore/Law, https://w3id.org/framester/wn/wn30/instances/synset-plastic-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-sign-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-activism-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-activism-noun-1"
1624,weapons of mass destruction,frame:Destroying,,mft:Harm,"https://w3id.org/framester/wn/wn30/instances/synset-mass-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-destruction-noun-1, https://w3id.org/framester/data/framestercore/Destroying, https://w3id.org/framester/wn/wn30/instances/synset-destruction-noun-1"
1625,a man standing in a living room with a remote control,"frame:Likelihood, frame:BeInControl, frame:BuildingSubparts, frame:OccupyRank, frame:People",,"mft:Authority, folk:Consideration, folk:Leadership, bhv:Power, folk:Control","https://w3id.org/framester/data/framestercore/OccupyRank, https://w3id.org/framester/wn/wn30/instances/synset-room-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-outside-adjectivesatellite-8, https://w3id.org/framester/wn/wn30/instances/synset-control-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-control-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/data/framestercore/BeInControl, https://w3id.org/framester/wn/wn30/instances/synset-standing-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-life-noun-2, https://w3id.org/framester/wn/wn30/instances/synset-standing-noun-1"
1626,a close up of a pencil laying on top of a sandy beach,"frame:NaturalFeatures, frame:CreateRepresentation, frame:Posture, frame:Placing, frame:Supply, frame:BeingLocated",,,"https://w3id.org/framester/wn/wn30/instances/synset-pencil-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-stopping%20point-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-beach-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-top-noun-1"
1627,a picture of a hourglass with a plant growing inside of it,"frame:Progress, frame:CauseExpansion, frame:GrowingFood, frame:OpticalImage, frame:CauseChangeOfPositionOnAScale, frame:Sensation, frame:IntentionallyCreate, frame:CauseToMakeProgress, frame:Agriculture, frame:LocaleByUse, frame:Expansion, frame:Creating, frame:ChangePositionOnAScale",,folk:Development,"https://w3id.org/framester/wn/wn30/instances/synset-plant-noun-1, https://w3id.org/framester/data/framestercore/Progress, https://w3id.org/framester/wn/wn30/instances/synset-hourglass-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-picture-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-inside-adjective-1"
1628,there is a elephant that is laying down in the grass,"frame:Filling, frame:Placing, frame:Adorning, frame:Willingness",,"mft:Care, folk:Willingness, folk:Helping, bhv:Benevolence","https://w3id.org/framester/wn/wn30/instances/synset-grass-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-grass-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-elephant-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-down-adjective-1, https://w3id.org/framester/wn/wn30/instances/synset-down-adjective-1, https://w3id.org/framester/wn/wn30/instances/synset-there-noun-1, https://w3id.org/framester/data/framestercore/Willingness"
1629,a close up of a stuffed animal laying on a metal rack,"frame:Placing, frame:Animals, frame:AboundingWith",,,"https://w3id.org/framester/wn/wn30/instances/synset-animal-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-rack-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-metallic%20element-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-stuffed-adjectivesatellite-1, https://w3id.org/framester/wn/wn30/instances/synset-stopping%20point-noun-1"
1630,arafed image of a man with a helmet on standing in the middle of a street,"frame:Accoutrements, frame:Awareness, frame:OccupyRank, frame:People, frame:Roadways, frame:PartInnerOuter",,"mft:Authority, folk:Consideration, folk:Consciousness","https://w3id.org/framester/data/framestercore/OccupyRank, https://w3id.org/framester/wn/wn30/instances/synset-standing-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-image-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-image-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-helmet-noun-2, https://w3id.org/framester/wn/wn30/instances/synset-standing-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-center-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-street-noun-1"
1631,"a poster with a message that says, you work for a green planet","frame:SetOfInterrelatedEntities, frame:WorkingOn, frame:BeingEmployed, frame:Attaching, frame:Statement, frame:Color, frame:Request, frame:Communication, frame:TextCreation",,folk:Structure,"https://w3id.org/framester/wn/wn30/instances/synset-work-verb-1, https://w3id.org/framester/wn/wn30/instances/synset-planet-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-poster-noun-1, https://w3id.org/framester/data/framestercore/SetOfInterrelatedEntities, https://w3id.org/framester/wn/wn30/instances/synset-green-adjectivesatellite-1, https://w3id.org/framester/wn/wn30/instances/synset-planet-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-message-noun-1"
1632,a poster for a movie with a man tied to a rope,"frame:InhibitMovement, frame:RopeManipulation, frame:KnotCreation, frame:Attaching, frame:Closure, frame:Connectors, frame:IntentionallyCreate, frame:People, frame:Creating, frame:Immobilization, frame:BehindTheScenes",,folk:Control,"https://w3id.org/framester/wn/wn30/instances/synset-poster-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-rope-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-rope-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-movie-noun-1"
1634,a woman holding a milk carton and milk carton with milk in it,"frame:People, frame:Food",,,"https://w3id.org/framester/wn/wn30/instances/synset-carton-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-woman-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-milk-noun-1"
1635,a close up of a broken toilet with a broken seat,"frame:BuildingSubparts, frame:Placing, frame:Capacity, frame:Supply",,,"https://w3id.org/framester/wn/wn30/instances/synset-seat-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-stopping%20point-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-broken-adjective-1, https://w3id.org/framester/wn/wn30/instances/synset-toilet-noun-1"
1636,a magazine ad for a man in a suit and tie,"frame:Clothing, frame:Text, frame:People",,,"https://w3id.org/framester/wn/wn30/instances/synset-suit-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-ad-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-magazine-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-necktie-noun-1"
1637,arafed advertisement on a bus stop with a crosswalk and a bus,"frame:Roadways, frame:Vehicle, frame:TemporaryStay",,,"https://w3id.org/framester/wn/wn30/instances/synset-crossing-noun-5, https://w3id.org/framester/wn/wn30/instances/synset-ad-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-bus-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-stop-noun-3"
1638,a close up of a bottle of pills on a table,"frame:Containers, frame:MeasureVolume",,,"https://w3id.org/framester/wn/wn30/instances/synset-stopping%20point-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-bottle-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-table-noun-1"
1639,a woman with a tattoo on her chest and neck,"frame:ObservableBodyParts, frame:People, frame:PartWhole",,,"https://w3id.org/framester/wn/wn30/instances/synset-thorax-noun-2, https://w3id.org/framester/wn/wn30/instances/synset-neck-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-tattoo-noun-3, https://w3id.org/framester/wn/wn30/instances/synset-woman-noun-1"
1640,a poster of a man holding a surfboard in front of a group of people,"frame:PartOrientational, frame:Manipulation, frame:Organization, frame:Aggregate, frame:Attaching, frame:Containing, frame:Inclusion, frame:Possession, frame:People",,"mft:Harm, folk:Control","https://w3id.org/framester/wn/wn30/instances/synset-poster-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-front-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-front-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-people-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-man-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-surfboard-noun-1, https://w3id.org/framester/data/framestercore/Manipulation, https://w3id.org/framester/wn/wn30/instances/synset-group-noun-1"
1641,a poster for a cell phone with a message on it,"frame:Attaching, frame:Contacting, frame:Substance, frame:CommunicationMeans",,,"https://w3id.org/framester/wn/wn30/instances/synset-message-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-cell-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-telephone-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-poster-noun-1"
